	    ID 	             X 	              Y 	              Z 	  DX 	  DY 	  DZ 	  BV 	        AbsMag 	
	    67 	  12094.318554 	 -30869.4972102 	 -20408.6339038 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6281234933 	
	    68 	 32168.1729826 	 -81631.1868621 	 -53676.6043466 	 0.0 	 0.0 	 0.0 	 0.0 	 15.5105739245 	
	    69 	 16874.2702202 	 -43394.2991221 	  -28274.698739 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6481257784 	
	    70 	 12277.5339368 	 -31319.3968049 	 -20336.2207243 	 0.0 	 0.0 	 0.0 	 0.0 	 19.8589533056 	
	    71 	 30000.9458733 	   -74799.01344 	 -48310.5571437 	 0.0 	 0.0 	 0.0 	 0.0 	 16.8869222686 	
	    72 	 18052.3512544 	 -45062.1192636 	 -29110.5283575 	 0.0 	 0.0 	 0.0 	 0.0 	 15.5525466494 	
	    73 	  21013.573298 	 -52483.7504931 	 -33660.7386032 	 0.0 	 0.0 	 0.0 	 0.0 	 18.0049401028 	
	    74 	 24676.9938494 	 -59750.2870998 	 -39090.6464802 	 0.0 	 0.0 	 0.0 	 0.0 	 18.2289364362 	
	    75 	 13751.8932924 	 -33051.9020138 	 -21558.7749328 	 0.0 	 0.0 	 0.0 	 0.0 	 19.9242188841 	
	    76 	 45878.3956013 	 -110185.463849 	  -71838.055569 	 0.0 	 0.0 	 0.0 	 0.0 	 16.6112790008 	
	    77 	 15545.1634375 	 -37843.3761149 	 -24634.2166973 	 0.0 	 0.0 	 0.0 	 0.0 	 18.4469845656 	
	    78 	 22431.0986936 	 -53884.7422675 	 -34857.4227549 	 0.0 	 0.0 	 0.0 	 0.0 	 17.9846075408 	
	    79 	 6442.02018095 	 -15142.3741898 	 -9789.63159574 	 0.0 	 0.0 	 0.0 	 0.0 	 18.6741220034 	
	    80 	 14839.3576231 	 -34874.5702231 	  -22415.155794 	 0.0 	 0.0 	 0.0 	 0.0 	  18.990718661 	
	    81 	  9561.3428002 	 -22883.0042899 	 -14790.6188548 	 0.0 	 0.0 	 0.0 	 0.0 	 20.6330215593 	
	    82 	 18952.6033915 	 -45270.6186631 	 -28953.2498818 	 0.0 	 0.0 	 0.0 	 0.0 	 19.1491610673 	
	    83 	 27573.8981096 	 -65506.8066515 	 -41768.8680176 	 0.0 	 0.0 	 0.0 	 0.0 	  17.025606323 	
	    84 	 21358.3047502 	 -52505.5123954 	 -34050.6941521 	 0.0 	 0.0 	 0.0 	 0.0 	 17.1963942316 	
	    85 	  37169.765265 	 -91757.7995578 	 -59192.2085579 	 0.0 	 0.0 	 0.0 	 0.0 	 14.4728558971 	
	    86 	 29153.6515168 	 -72021.9806321 	 -46232.0186229 	 0.0 	 0.0 	 0.0 	 0.0 	  17.666402585 	
	    87 	 28238.5433899 	 -70238.6667932 	 -45033.7517259 	 0.0 	 0.0 	 0.0 	 0.0 	 18.1439045156 	
	    88 	 16268.3031291 	 -40449.9453533 	 -25765.9024111 	 0.0 	 0.0 	 0.0 	 0.0 	 18.8362937844 	
	    89 	 12065.2415286 	    -29520.5349 	 -18813.3538296 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5556726263 	
	    90 	 23900.2636083 	 -58257.0098515 	 -37115.8121647 	 0.0 	 0.0 	 0.0 	 0.0 	 19.5297416266 	
	    91 	 49613.9743951 	 -120471.989036 	 -76844.1905698 	 0.0 	 0.0 	 0.0 	 0.0 	 17.1511713826 	
	    92 	 34796.9416375 	 -83398.0144292 	 -52646.9380449 	 0.0 	 0.0 	 0.0 	 0.0 	 16.3305158861 	
	    93 	 15694.9442616 	 -38169.1483861 	  -24269.550418 	 0.0 	 0.0 	 0.0 	 0.0 	 19.7880389088 	
	    94 	 6998.74637981 	 -17025.3637422 	 -10727.0035637 	 0.0 	 0.0 	 0.0 	 0.0 	 20.7515446806 	
