# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
 15.3263 | -38.9167 |   6055 |  5.59
 15.7562 |  47.3761 |   6114 |  6.45
 15.7262 |   41.345 |   6116 |  5.98
 15.7046 |  31.8044 |   6118 |   5.5
 15.9042 |   61.075 |   6130 |  5.92
   15.61 | -31.5519 |   6178 |   5.5
 15.7358 |     7.89 |   6186 |  4.28
 15.5075 | -57.0025 |   6192 |  6.11
 15.7608 |  -4.8367 |   6203 |  5.43
 16.0817 |  61.5803 |   6210 |  5.84
   16.01 |  52.5022 |   6211 |  5.99
  15.705 | -46.3975 |   6245 |  5.36
 15.8233 | -29.5258 |   6269 |  6.29
 15.9542 |   1.3667 |   6288 |  6.04
  16.195 |    51.01 |   6300 |  6.54
  16.115 |  29.6586 |   6301 |  6.19
 15.6787 | -65.4561 |   6311 |  6.21
 16.1517 |  39.9911 |   6314 |  6.72
 19.0562 |  87.1453 |   6319 |  6.25
 16.2192 |   5.6564 |   6386 |   6.0
 16.2725 |  14.9461 |   6397 |  5.68
  16.595 |  62.7617 |   6416 |  6.54
 16.4204 |  21.4733 |   6456 |  5.34
 16.4237 |  21.4653 |   6457 |  5.56
 17.3012 |  80.0117 |   6473 |  6.29
  16.455 |   4.9083 |   6479 |  6.35
 16.4642 |   4.9094 |   6480 |  7.25
 16.4033 |  -9.9792 |   6482 |  6.12
 16.7508 |   56.935 |   6497 |  6.43
 16.5212 |  -9.8394 |   6530 |  5.58
 16.7896 |  53.4983 |   6540 |  6.38
   16.64 |  12.9561 |   6557 |  6.12
 16.5321 | -23.9925 |   6559 |  6.14
 17.0683 |  54.9203 |   6582 |  5.17
 16.5208 | -46.7186 |   6595 |  3.31
 16.6104 | -35.6608 |   6619 |  6.61
 17.0037 |  43.9419 |   6658 |  5.03
 16.8046 | -23.9964 |   6668 |  6.37
 17.1387 |  58.2636 |   6676 |  5.79
 17.0054 |  32.0122 |   6680 |  6.25
 16.9883 |  20.7392 |   6695 |  5.55
 16.9425 |  -9.7856 |   6706 |  5.82
 17.0925 |   5.6497 |   6763 |  5.52
 16.9496 | -41.4869 |   6767 |  5.21
 16.8279 | -61.7753 |   6793 |  5.37
 18.0696 |  79.6739 |   6798 |  5.64
 17.1475 | -10.1822 |   6805 |  3.45
 17.3758 |  47.2419 |   6811 |  4.25
 17.6637 |  68.7786 |   6829 |  5.29
 17.4329 |  35.6206 |   6860 |  2.06
 17.0962 | -55.2458 |   6882 |  3.92
  17.455 |  19.6586 |   6903 |  5.55
 17.5783 |  42.0814 |   6920 |  5.65
 17.5808 |  25.4578 |   6953 |   5.8
 17.8567 |  64.2028 |   6960 |  5.55
 17.7758 |  55.1497 |   6961 |  4.33
 17.5479 |  15.6742 |   6966 |  6.06
 17.9225 |  65.0189 |   6972 |  5.57
   17.55 |  -8.9061 |   6976 |   6.4
   17.64 |   2.4456 |   7014 |  5.95
 17.7929 |  37.7242 |   7019 |  5.81
 17.7783 |  31.4247 |   7034 |  5.16
 17.5308 | -57.6944 |   7082 |  6.41
 17.8633 |  21.0347 |   7087 |  4.66
  17.915 |  30.0897 |   7106 |  4.51
 17.9312 |  -2.2511 |   7147 |  5.94
 18.2912 |  61.7058 |   7157 |  6.41
 18.1417 |  45.3378 |   7158 |  6.11
 18.2479 |  30.0642 |   7229 |  6.19
 19.1279 |    79.91 |   7238 |  6.26
 18.0975 | -30.8022 |   7259 |  6.52
 18.1892 | -37.8564 |   7312 |  5.92
 18.4371 |  24.5836 |   7318 |  4.65
 18.4329 |   7.5753 |   7344 |  5.24
 18.4387 |   7.5783 |   7345 |   6.3
 18.5208 |  28.5297 |   7351 |  6.43
 18.5317 |  16.1336 |   7374 |  5.98
 19.0504 |  71.7439 |   7389 |  7.83
    18.6 |  -7.9231 |   7439 |  5.13
 18.6767 |   6.9953 |   7446 |  6.03
  18.705 |  -0.9739 |   7476 |   5.7
 19.1021 |  48.0822 |   7546 |  6.61
 18.7962 | -45.5314 |   7570 |  4.96
 19.0783 |  33.1147 |   7578 |  6.02
 19.2712 |  44.9019 |   7647 |  6.34
 19.1512 |  -2.5003 |   7672 |  5.41
 19.3504 |  31.7447 |   7724 |  6.73
 20.0813 |  77.5706 |   7732 |  6.31
 19.5425 |  47.4197 |   7758 |  6.25
 18.9421 | -68.8761 |   7788 |  4.86
   19.45 |   3.6144 |   7804 |  5.16
 19.6958 |  37.3861 |   7853 |  6.46
  19.265 | -66.3981 |   7916 |  6.24
 20.4962 |  76.2389 |   7925 |  6.38
 20.0204 |  58.2317 |   7927 |  4.98
 19.8667 |  27.2642 |   7964 |  4.76
 20.2717 |  64.6583 |   8003 |  6.34
 19.9513 |  -0.5089 |   8036 |  5.87
  20.945 |  78.7258 |   8065 |  6.07
 20.1437 |  -3.2469 |   8120 |  6.23
 20.1158 | -11.2389 |   8121 |  6.15
 20.2808 |  28.7381 |   8126 |  5.23
  20.585 |  45.5289 |   8207 |  4.88
   20.84 |  58.1431 |   8272 |  6.45
 20.6542 |   1.7264 |   8334 |   6.2
  20.645 |  -0.4497 |   8335 |  6.49
 20.6271 | -19.0814 |   8350 |  6.35
 20.9192 |   37.715 |   8374 |  5.58
 20.9062 |  34.2458 |   8375 |  6.29
