# Name: V/50
# Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
# Coosys	J2000_2000.000:	eq_FK5 J2000
# Table	V_50_catalog:
# Name: V/50/catalog
# Title: The main part of the Catalogue
# Column	RA	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
# Column	DEC	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
# Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
# Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
      RA |      DEC |     HD |  Vmag
190.4879 |   6.8067 | 110423 |  5.59
190.7096 | -63.0586 | 110432 |  5.31
190.6475 | -48.8131 | 110458 |  4.66
190.7067 | -55.9472 | 110461 |  6.08
190.3912 |  62.7131 | 110462 |  6.07
190.7879 | -56.1761 | 110506 |   6.0
190.8675 | -58.9031 | 110532 |   6.4
190.8596 | -40.1778 | 110575 |  6.44
190.9087 |  -1.5769 | 110646 |  5.93
190.9946 | -36.3492 | 110653 |  6.39
191.0021 | -28.3239 | 110666 |  5.48
190.7675 |  61.1556 | 110678 |  6.38
191.2571 | -68.8311 | 110716 |  6.16
191.4079 | -60.9811 | 110829 |  4.69
191.1129 |  44.1031 | 110834 |  6.33
191.5704 | -68.1081 | 110879 |  3.05
191.2479 |  39.2789 | 110897 |  5.95
191.2825 |  45.4403 | 110914 |  4.99
191.4046 |   7.6733 | 110951 |  5.22
191.5946 | -56.4889 | 110956 |  4.65
191.5937 |     9.54 | 111028 |  5.67
191.6917 | -33.3156 | 111032 |  5.86
191.6612 |  16.5775 | 111067 |  5.12
191.1083 |  80.6211 | 111112 |   6.4
  191.93 | -59.6886 | 111123 |  1.25
191.7596 |   5.9508 | 111133 |  6.34
191.8067 |  11.9581 | 111164 |  6.07
191.8892 |  -6.3019 | 111199 |  6.26
191.9737 | -24.8517 | 111226 |  6.44
191.9642 |   3.5728 | 111239 |  6.41
191.8287 |  62.7808 | 111270 |  5.89
  192.11 | -27.5975 | 111295 |  5.66
192.0596 |  13.5531 | 111308 |  6.56
192.4371 | -71.9864 | 111315 |  5.55
191.8933 |  66.7903 | 111335 |  5.43
192.1958 |  24.8403 | 111395 |  6.31
192.2258 |  14.1225 | 111397 |   5.7
192.1742 |  48.4669 | 111421 |  6.27
192.1642 |    60.32 | 111456 |  5.85
  192.55 | -60.4008 | 111463 |  6.75
192.3225 |  27.5522 | 111469 |  5.78
193.7442 | -85.1233 | 111482 |  5.46
192.5817 | -48.4597 | 111519 |  6.24
192.7412 | -52.7875 | 111588 |  5.73
192.5725 |  22.8633 | 111591 |  6.43
192.6717 | -33.9994 | 111597 |  4.91
192.5446 |  37.5169 | 111604 |  5.89
192.8242 | -60.3297 | 111613 |  5.72
192.8454 | -10.3383 | 111720 |  6.41
192.9037 |   3.0567 | 111765 |  6.02
192.9867 | -39.6808 | 111774 |  5.98
193.0221 | -48.0942 | 111775 |  6.33
192.9912 | -26.7381 | 111786 |  6.15
193.1025 | -53.8294 | 111790 |  6.24
192.9246 |  27.5406 | 111812 |  4.94
193.0512 |  17.0739 | 111862 |  6.32
193.2662 | -54.9525 | 111884 |  5.93
 193.115 |  16.1225 | 111893 |   6.3
193.3408 | -60.3286 | 111904 |  5.76
193.2787 | -48.9433 | 111915 |  4.33
193.3592 | -40.1789 | 111968 |  4.27
193.4546 | -60.3769 | 111973 |   5.9
193.2967 |  -3.5531 | 111998 |  6.11
192.2775 |  83.4181 | 112014 |  5.85
192.3067 |  83.4128 | 112028 |  5.28
193.3242 |   21.245 | 112033 |   4.9
193.5917 | -58.4306 | 112044 |  6.58
193.4087 |  -4.2239 | 112048 |  6.44
193.6633 | -59.1467 | 112078 |  4.62
193.6483 | -57.1778 | 112092 |  4.03
193.6533 | -57.1683 | 112091 |  5.17
193.4571 |  12.4186 | 112097 |  6.25
193.5779 | -11.6486 | 112131 |   6.0
193.5883 |  -9.5389 | 112142 |  4.79
193.7437 | -44.1519 | 112164 |  5.89
193.5546 |  33.5344 | 112171 |  6.26
193.5071 |  55.9597 | 112185 |  1.77
193.8308 | -42.9158 | 112213 |  5.47
194.1312 | -72.1853 | 112219 |  5.93
193.9875 | -56.8361 | 112244 |  5.32
193.7354 |  47.1967 | 112264 |  5.84
193.9008 |   3.3975 | 112300 |  3.38
193.9721 | -15.3269 | 112304 |  6.17
194.1254 | -26.4603 | 112374 |  6.62
194.2683 | -51.1986 | 112409 |  5.16
194.0017 |  38.3147 | 112412 |   5.6
194.0071 |  38.3183 | 112413 |   2.9
193.8687 |  65.4386 | 112429 |  5.24
194.0733 |  54.0994 | 112486 |  5.82
194.3883 | -22.7539 | 112519 |  6.31
194.2821 |  46.1769 | 112570 |  6.12
194.7308 |  17.4094 | 112769 |  4.78
194.9146 |  -3.8119 | 112846 |  5.79
195.1358 | -33.5053 | 112935 |  6.02
195.5675 | -71.5489 | 112985 |  3.62
195.0687 |   30.785 | 112989 |   4.9
195.1496 |  -3.3686 | 112992 |  5.99
195.1617 |  18.3731 | 113022 |   6.2
194.6971 |  75.4725 | 113049 |  6.01
194.9796 |  66.5972 | 113092 |  5.32
  195.29 |  17.1231 | 113095 |  5.96
195.7717 | -71.4761 | 113120 |  6.03
195.1825 |  56.3664 | 113139 |  4.93
195.5442 |  10.9592 | 113226 |  2.83
195.8883 | -49.5272 | 113314 |  4.85
 195.445 |  63.6103 | 113337 |   6.0
195.9421 | -20.5831 | 113415 |  5.58
195.6683 |  59.7161 | 113436 |  6.53
195.9767 |  -3.6633 | 113459 |  6.59
196.2004 | -41.1967 | 113523 |  6.26
196.3783 |  -52.115 | 113602 |  6.43
196.5696 | -48.4636 | 113703 |  4.71
196.6462 | -41.5886 | 113778 |  5.59
196.7275 | -49.9061 | 113791 |  4.27
196.4354 |  35.7989 | 113797 |  5.25
196.8508 | -59.8606 | 113823 |  5.99
196.4679 |  45.2686 | 113847 |  5.63
196.5883 |  21.1533 | 113848 |  5.99
196.7262 | -35.8619 | 113852 |  6.54
196.5425 |  29.0294 | 113865 |  6.54
196.5942 |  22.6161 | 113866 |   5.6
196.2071 |  73.0253 | 113889 |  6.31
196.9096 | -53.4597 | 113902 |  5.71
197.0292 | -65.3064 | 113904 |  5.51
196.5946 |  62.0419 | 113994 |  6.14
196.7946 |  27.6247 | 113996 |   4.8
196.9742 | -10.7403 | 114038 |  5.19
196.9733 |  27.5558 | 114092 |  6.19
197.1354 |  -8.9844 | 114113 |  5.55
197.2637 | -23.1181 | 114149 |  4.95
  197.31 |  -9.5383 | 114203 |  6.32
197.3017 |  10.0222 | 114256 |  5.78
197.4387 | -10.3294 | 114287 |  5.94
197.4492 |  16.8486 | 114326 |  5.91
197.4875 |  -5.5389 | 114330 |  4.38
197.4112 |  37.4231 | 114357 |  6.02
197.7433 | -52.5669 | 114365 |  6.06
 197.965 | -69.9419 | 114371 |  5.91
 197.425 |  38.5339 | 114376 |  6.28
197.4971 |  17.5294 | 114378 |  5.22
197.4971 |  17.5294 | 114379 |  5.22
197.7867 | -42.2331 | 114435 |  5.79
197.5133 |  38.4989 | 114447 |  5.91
197.9712 | -63.3028 | 114461 |  6.33
197.8467 | -43.3689 | 114474 |  5.25
197.4592 |  62.2292 | 114504 |  6.54
198.0725 | -59.9208 | 114529 |   4.6
198.5717 | -78.4472 | 114533 |  5.85
198.2037 | -66.2269 | 114570 |   5.9
197.9133 | -26.5517 | 114576 |   6.5
198.0133 | -37.8031 | 114613 |  4.85
198.2333 | -59.8167 | 114630 |  6.16
198.0146 | -16.1986 | 114642 |  5.04
198.2121 | -42.6997 | 114707 |  6.22
197.9683 |  27.8781 | 114710 |  4.26
 198.035 |  24.2581 | 114724 |  6.33
198.3479 |    -50.7 | 114772 |  5.89
198.1371 |  11.5561 | 114780 |  5.77
198.1496 |  18.7517 | 114793 |  6.53
198.5504 | -58.6839 | 114835 |  5.89
198.5617 | -59.1033 | 114837 |  4.92
198.3617 | -18.8267 | 114846 |  6.28
198.4896 | -43.1389 | 114873 |  6.16
198.3017 |  18.7269 | 114889 |  6.11
198.8121 | -67.8944 | 114911 |   4.8
198.8571 | -69.6797 | 114912 |  6.37
198.5454 | -19.9308 | 114946 |  5.33
198.6796 | -48.9567 | 114971 |  5.89
198.4292 |  40.1528 | 115004 |  4.92
198.6304 |  11.3317 | 115046 |  5.67
198.7904 | -36.3711 | 115050 |  6.19
199.1867 | -65.1383 | 115149 |  6.07
 198.995 | -19.9431 | 115202 |  5.22
199.3042 | -66.7836 | 115211 |  4.87
198.3833 |  72.7989 | 115227 |  6.59
198.8833 |  40.8553 | 115271 |  5.79
199.1062 |  -1.3906 | 115308 |  6.68
199.2212 | -31.5061 | 115310 |   5.1
199.0596 |  19.0517 | 115319 |  6.45
199.3079 | -43.9794 | 115331 |  5.84
198.1058 |  80.4714 | 115337 |  6.25
199.1346 |  19.7853 | 115365 |  6.45
199.1937 |   9.4242 | 115383 |  5.22
199.8287 | -72.0356 | 115439 |  6.04
 199.315 |  13.6756 | 115478 |  5.33
199.3746 |  -0.6767 | 115488 |  6.37
199.4012 |   5.4697 | 115521 |   4.8
199.6442 | -51.2861 | 115529 |  6.19
199.3854 |  40.5725 | 115604 |  4.73
199.1192 |  68.4081 | 115612 |   6.2
199.6012 | -18.3114 | 115617 |  4.74
199.7304 | -23.1717 | 115659 |   3.0
199.7129 |   3.6878 | 115709 |  6.62
199.6158 |  34.0981 | 115723 |  5.82
199.5604 |  49.6819 | 115735 |  5.15
200.1454 | -59.7733 | 115778 |  6.18
199.7675 |  35.1281 | 115810 |  6.02
200.1575 | -52.7481 | 115823 |  5.48
200.2012 | -55.8006 | 115842 |  6.02
200.1492 | -36.7122 | 115892 |  2.75
200.2404 | -46.8806 | 115912 |  5.77
200.7192 | -72.1467 | 115967 |  6.05
200.1733 |   2.9417 | 115995 |  6.26
200.0792 |  40.1506 | 116010 |   5.6
200.3746 | -19.4889 | 116061 |  6.21
200.6487 | -60.9722 | 116072 |  6.18
200.6579 | -60.9883 | 116087 |  4.53
200.5675 | -52.1831 | 116084 |  5.83
200.4233 |   2.0872 | 116160 |  5.69
200.7196 | -47.9431 | 116197 |  6.16
200.7608 | -48.5628 | 116226 |  6.38
200.5404 |   5.1547 | 116235 |  5.87
201.0021 | -64.5358 | 116243 |  4.53
201.2796 | -74.8878 | 116244 |  5.05
200.7862 |   -33.19 | 116278 |  6.22
200.7546 | -17.7353 | 116292 |  5.37
200.5158 |  43.9031 | 116303 |  6.35
200.9679 | -49.8231 | 116338 |  6.48
200.8287 |  -4.9244 | 116365 |  5.89
201.3079 | -64.4853 | 116457 |  5.31
201.4587 | -70.6275 | 116458 |  5.67
201.1383 |  -5.1639 | 116568 |  5.75
201.8262 | -74.6919 | 116579 |  6.63
 200.975 |  37.0339 | 116581 |  6.07
201.1271 |  12.4319 | 116594 |  6.44
200.9812 |  54.9253 | 116656 |  2.27
 200.985 |  54.9217 | 116657 |  3.95
201.2983 | -11.1614 | 116658 |  0.98
201.2779 |  23.8544 | 116706 |  5.78
201.5325 | -39.7553 | 116713 |  5.09
201.5475 |  -1.1925 | 116831 |  5.97
201.7337 | -41.4981 | 116835 |  5.69
201.7763 | -49.1439 | 116836 |  6.31
201.3062 |  54.9881 | 116842 |  4.01
201.8367 | -49.3808 | 116862 |  6.28
  201.68 | -12.7078 | 116870 |  5.25
201.8112 | -40.1631 | 116873 |   6.4
202.1933 | -69.6281 | 116890 |   6.2
201.5692 |  46.0281 | 116957 |  5.88
201.8633 | -15.9736 | 116976 |  4.76
202.2817 | -64.6758 | 117025 |  6.11
201.4996 |  63.2611 | 117043 |   6.5
 202.355 | -51.1653 | 117150 |  5.06
202.1075 |  13.7789 | 117176 |  4.98
201.5337 |  72.3914 | 117187 |  5.79
201.7692 |  64.7356 | 117200 |  6.66
201.7946 |  64.7194 | 117201 |  7.04
201.9979 |  52.7458 | 117242 |  6.34
202.1092 |  40.7297 | 117261 |  6.47
202.3121 |  -1.3644 | 117267 |  6.43
202.0487 |  50.5872 | 117281 |   6.8
202.4283 | -23.2814 | 117287 |  4.97
202.3042 |  10.8183 | 117304 |  5.65
203.3117 | -77.5683 | 117360 |  6.48
202.1904 |  50.7183 | 117361 |  6.43
205.2312 | -85.7861 | 117374 |  5.58
202.1129 |  59.9458 | 117376 |   5.4
202.5004 |   7.1789 | 117404 |  6.17
  202.49 |   6.0133 | 117405 |  6.51
202.6071 |  -6.4703 | 117436 |  6.09
202.7612 | -39.4075 | 117440 |  3.88
202.8887 | -28.1128 | 117558 |  6.47
201.7362 |  78.6439 | 117566 |  5.77
203.0221 | -38.3992 | 117597 |  6.16
203.3987 | -65.6325 | 117651 |  6.37
203.0117 | -18.7289 | 117661 |  6.01
202.9912 |  -6.2558 | 117675 |  4.69
202.8158 |  42.1061 | 117710 |  6.08
203.1496 | -28.6928 | 117716 |  5.69
203.1438 | -29.5653 | 117718 |  6.45
203.2154 | -15.3631 | 117789 |  5.55
203.2421 |  -10.165 | 117818 |  5.21
203.2529 |   -7.195 | 117833 |  6.68
203.2004 |  24.3464 | 117876 |  6.11
203.6204 | -48.2722 | 117919 |  6.33
203.6817 | -33.3108 | 118010 |  6.44
203.5329 |   3.6589 | 118022 |  4.94
203.6687 | -13.2144 | 118054 |  5.91
203.6733 |  -0.5958 | 118098 |  3.37
203.5908 |  38.7892 | 118156 |  6.37
203.5304 |  55.3486 | 118214 |   5.6
203.6992 |  37.1825 | 118216 |  4.98
203.8804 |  -5.3961 | 118219 |  5.73
203.6137 |  49.0161 | 118232 |   4.7
204.3008 | -61.6919 | 118261 |  5.63
203.8888 |  10.2047 | 118266 |  6.49
204.7996 | -75.6839 | 118285 |  6.34
203.8087 |  44.1969 | 118295 |  6.84
204.2104 | -34.4678 | 118319 |   6.5
 204.275 | -44.1433 | 118338 |  5.98
204.6904 |  -70.445 | 118344 |   6.1
204.2017 |  -26.495 | 118349 |  5.78
204.3487 | -46.4283 | 118354 |   5.9
204.5317 |  -58.415 | 118384 |  6.42
204.2462 |  24.6133 | 118508 |  5.74
204.7046 | -57.6231 | 118520 |  6.01
205.0025 | -70.7883 | 118522 |  6.59
204.1658 |  49.4867 | 118536 |  6.49
 204.365 |   36.295 | 118623 |  4.82
 204.675 | -29.5608 | 118646 |  5.83
204.5329 |  14.3017 | 118660 |  6.52
205.0454 | -64.5769 | 118666 |  5.79
203.6783 |  76.5467 | 118686 |  6.57
204.9717 | -53.4664 | 118716 |   2.3
204.4292 |  50.7147 | 118741 |  6.48
204.9987 | -49.9503 | 118767 |   6.0
  204.92 | -39.7481 | 118781 |  6.27
204.9525 | -40.0519 | 118799 |   5.6
204.7596 |  18.2653 | 118839 |  6.48
204.8942 |  10.7461 | 118889 |  5.57
204.2958 |  71.2422 | 118904 |   5.5
205.5046 | -58.7872 | 118978 |  5.38
205.4362 |   -54.56 | 118991 |  5.01
204.8767 |  52.9214 | 119024 |  5.46
 205.065 |  31.0119 | 119035 |  6.21
205.1687 |  19.9556 | 119055 |  5.75
205.1629 |  28.0653 | 119081 |  6.23
205.3787 | -23.4497 | 119086 |  6.59
205.4404 | -33.5969 | 119090 |  6.05
205.0967 |  50.5194 | 119124 |  6.32
205.2596 |  22.4958 | 119126 |  5.62
205.4033 |  -8.7031 | 119149 |  5.01
205.7337 | -56.7681 | 119159 |   6.0
205.7275 | -50.7906 | 119193 |  6.41
205.0887 |  57.2075 | 119213 |  6.29
205.1846 |  54.6817 | 119228 |  4.66
205.7292 | -41.4011 | 119250 |  5.98
205.5529 |   8.3883 | 119288 |  6.16
205.9167 | -42.0675 | 119361 |  5.98
206.0662 | -51.0131 | 119419 |  6.47
205.7654 |   3.5381 | 119425 |  5.36
  205.62 |  41.6742 | 119445 |   6.3
205.6808 |  34.9889 | 119458 |  5.98
205.3746 |  64.8225 | 119476 |  5.85
205.9762 |  -5.4989 | 119537 |  6.51
205.9383 |  22.7003 | 119584 |  6.13
206.1242 | -16.1792 | 119605 |   5.6
206.1904 | -25.5008 | 119623 |  6.21
206.4037 | -26.1161 | 119752 |  5.81
206.4217 | -33.0439 | 119756 |  4.23
205.9779 |  52.0644 | 119765 |  6.02
206.3962 | -15.7675 | 119786 |  6.19
206.7946 |   -62.59 | 119796 |  6.51
206.6637 | -51.4328 | 119834 |  4.65
206.4846 | -12.4267 | 119853 |  5.51
 206.735 | -36.2519 | 119921 |  5.15
 206.865 | -50.2494 | 119938 |  5.91
  206.91 | -50.3211 | 119971 |  5.45
 206.305 |  55.8794 | 119992 |   6.5
206.8062 |  -9.7092 | 120033 |  6.05
206.5562 |  41.0886 | 120047 |  5.87
206.5792 |  38.5039 | 120048 |  5.94
206.8558 |   -17.86 | 120052 |  5.43
206.6804 |  25.7022 | 120064 |  5.95
206.7379 |   6.3506 | 120066 |  6.33
205.6637 |  78.0644 | 120084 |  5.91
206.8154 |  17.4567 | 120136 |   4.5
206.7492 |  38.5428 | 120164 |   5.5
206.6487 |  54.4328 | 120198 |   5.7
208.9112 | -82.6661 | 120213 |  5.95
207.2296 | -35.7039 | 120237 |  6.53
207.3762 | -41.6878 | 120307 |  3.41
 206.885 |  49.3133 | 120315 |  1.86
207.3612 | -34.4508 | 120323 |  4.19
207.4042 | -42.4739 | 120324 |  3.04
207.9475 | -69.4014 | 120404 |  5.75
207.1612 |  31.1903 | 120420 |  5.62
207.4679 | -18.1342 | 120452 |  4.97
207.5271 | -29.0814 | 120455 |  6.18
207.5808 | -39.9011 | 120457 |  6.44
207.2383 |  39.5428 | 120499 |   7.4
207.3692 |  15.7978 | 120477 |  4.07
207.4283 |  21.2642 | 120539 |  4.91
207.6437 | -19.8972 | 120544 |  6.53
205.5962 |  82.7525 | 120565 |  5.98
207.4375 |  36.6328 | 120600 |  6.38
207.6029 |   5.4972 | 120602 |  6.01
207.9467 | -46.8992 | 120640 |  5.77
  208.02 | -52.8117 | 120642 |  5.25
207.9025 | -36.4333 | 120672 |  6.35
 207.835 | -24.3908 | 120690 |  6.45
207.9567 | -32.9944 | 120709 |  4.56
207.9587 | -32.9947 | 120710 |  6.06
208.0037 | -31.6194 | 120759 |  6.12
207.4396 |  61.4892 | 120787 |  5.96
207.7687 |  34.7725 | 120818 |  6.65
207.7883 |  34.6644 | 120819 |  5.87
207.6154 |  58.5394 | 120874 |  6.46
208.4296 | -53.3736 | 120908 |  5.89
208.7037 | -67.6525 | 120913 |  5.71
207.9479 |  34.4442 | 120933 |  4.74
208.0767 |  12.1653 | 120934 |  6.04
208.3021 | -31.9278 | 120955 |  4.73
208.3867 | -35.6642 | 120987 |  5.54
208.4871 | -47.1281 | 120991 |   6.1
208.4675 | -35.3144 | 121056 |  6.19
208.3037 |  17.9328 | 121107 |   5.7
207.8579 |  64.7233 | 121130 |  4.65
207.7467 |  68.3153 | 121146 |   6.4
208.5692 | -28.5697 | 121156 |  6.04
208.2929 |  28.6481 | 121164 |   5.9
208.8008 | -52.1611 | 121190 |  5.71
 208.885 | -47.2883 | 121263 |  2.55
208.6754 |  -1.5031 | 121299 |  5.15
208.7425 |  -8.0589 | 121325 |  6.19
209.0825 | -54.1319 | 121336 |  6.14
208.6713 |  18.3978 | 121370 |  2.68
209.1375 | -54.7044 | 121384 |   6.0
208.9354 |  -31.285 | 121397 |  6.51
208.4625 |  53.7286 | 121409 |   5.7
209.0812 | -46.5925 | 121416 |  5.83
210.1367 |   -78.59 | 121439 |  6.09
209.4121 | -63.6867 | 121474 |  4.71
  209.63 | -65.8006 | 121557 |   6.2
208.9583 |  14.0564 | 121560 |  6.16
209.1163 |   1.0506 | 121607 |  5.91
209.0437 |  32.0325 | 121682 |  6.32
209.3654 | -23.0228 | 121699 |  6.14
209.1425 |  27.4919 | 121710 |  5.01
209.5679 | -42.1008 | 121743 |  3.83
  209.67 | -44.8036 | 121790 |  3.87
209.6296 | -24.9722 | 121847 |  5.15
209.8221 |   -50.37 | 121853 |  5.91
210.0721 | -61.4814 | 121901 |  6.49
210.2175 | -66.2686 | 121932 |  5.97
209.6662 |  14.6494 | 121980 |   6.0
209.6621 |  21.6961 | 121996 |  5.76
209.3837 |  61.4928 | 122064 |  6.37
210.0004 | -25.0103 | 122066 |  5.77
209.9554 |  -3.5497 | 122106 |   6.4
210.3292 | -40.2222 | 122210 |  6.13
210.4308 | -45.6036 | 122223 |  4.34
211.3325 | -76.7967 | 122250 |   5.5
 210.335 |   8.8947 | 122365 |  5.99
210.2937 |  27.3867 | 122405 |  6.23
210.4117 |   1.5444 | 122408 |  4.26
 210.595 |   -27.43 | 122430 |  5.48
210.8592 | -56.2136 | 122438 |  5.92
210.9558 | -60.3731 | 122451 |  0.61
210.7571 | -31.6839 | 122510 |  6.18
210.8646 | -41.4233 | 122532 |  6.11
210.6325 |   9.6864 | 122563 |   6.2
210.5508 |  45.7536 | 122675 |  6.27
210.9712 | -22.4217 | 122703 |   6.3
210.8846 |  10.7867 | 122742 |   6.3
210.9033 |   7.5464 | 122744 |  6.26
210.9825 |   4.9008 | 122797 |  6.24
211.0608 |  -5.3814 | 122815 |  6.39
211.1125 | -14.9717 | 122837 |  6.28
211.4437 | -54.6694 | 122844 |  6.17
212.1129 | -74.8503 | 122862 |  6.02
210.7487 |  50.9719 | 122866 |  6.15
211.6046 | -59.7156 | 122879 |  6.42
210.4608 |  68.6786 | 122909 |  6.34
211.1562 |   2.2975 | 122910 |  6.28
211.3083 | -16.3358 | 122958 |  6.56
211.5117 | -41.1797 | 122980 |  4.36
211.5454 | -43.0919 | 123004 |   6.2
211.5929 | -26.6825 | 123123 |  3.27
211.6708 |   -36.37 | 123139 |  2.06
212.0596 | -63.2081 | 123151 |   6.4
211.6783 |  -9.3133 | 123255 |  5.46
211.0971 |  64.3758 | 123299 |  3.65
212.2346 | -59.2767 | 123335 |  6.34
212.6287 | -70.3056 | 123377 |  6.05
212.2162 | -43.4711 | 123445 |  6.17
212.7579 | -69.7197 | 123492 |  6.06
212.3958 | -51.5047 | 123515 |   6.0
212.4783 | -53.4392 | 123569 |  4.75
212.2525 | -10.3344 | 123630 |  6.47
211.9825 |  43.8544 | 123657 |  5.27
212.0721 |  49.4581 | 123782 |  5.25
212.7104 | -16.3019 | 123934 |  4.91
212.1917 |  59.3378 | 123977 |  6.46
214.5575 | -81.0078 | 123998 |  4.91
212.5996 |  25.0917 | 123999 |  4.83
 211.735 |  74.5936 | 124063 |  6.45
214.2287 | -77.6639 | 124099 |  6.47
  212.88 |   1.3622 | 124115 |  6.43
213.3183 | -53.6658 | 124147 |  5.56
213.1021 | -24.3642 | 124162 |  6.34
212.8129 |  32.2956 | 124186 |  6.11
213.4162 | -54.6258 | 124195 |  6.11
213.1917 | -27.2611 | 124206 |  5.08
213.0658 |   2.4094 | 124224 |  5.01
 213.305 | -26.6122 | 124281 |  6.24
213.2242 | -10.2736 | 124294 |  4.19
213.7375 | -57.0858 | 124367 |  5.07
  213.42 |  -0.8456 | 124425 |  5.91
213.6775 | -41.8375 | 124433 |  5.61
213.8383 | -53.5097 | 124454 |  6.39
214.1608 | -66.5878 | 124471 |  5.75
212.2121 |  77.5475 | 124547 |  4.82
213.5887 |  -5.9475 | 124553 |  6.36
213.5217 |  12.9594 | 124570 |  5.54
213.7554 | -29.2819 | 124576 |  6.08
213.9117 | -45.0008 | 124580 |  6.31
214.1425 | -59.9139 | 124601 |  6.39
216.0971 | -82.8486 | 124639 |  6.42
213.3654 |  51.7878 | 124674 |  6.69
213.3708 |  51.7903 | 124675 |  4.54
213.7117 |  10.1006 | 124679 |  5.29
213.7208 |   3.3361 | 124681 |  6.45
213.8504 | -18.2008 | 124683 |  5.43
213.6708 |  21.8733 | 124713 |  6.39
213.0167 |  69.4325 | 124730 |  5.24
213.5979 |  41.5189 | 124755 |  6.24
215.5946 | -80.1089 | 124771 |  5.06
214.0762 | -33.2414 | 124780 |  6.55
214.0037 |  -6.0006 | 124850 |  4.08
216.7287 | -83.6678 | 124882 |  4.32
213.9154 |  19.1825 | 124897 | -0.04
214.0896 |  -6.6219 | 124915 |  6.44
214.1254 |  -3.1964 | 124931 |  6.15
214.0175 |  18.9119 | 124953 |  5.98
214.2658 | -18.5853 | 124990 |  6.22
213.8204 |  52.5358 | 125019 |  6.58
214.1367 |  20.1214 | 125040 |  6.25
214.1008 |  39.7447 | 125111 |  6.38
214.5992 | -33.2206 | 125150 |  6.54
214.9646 | -61.2731 | 125158 |  5.23
214.0412 |  51.3672 | 125161 |  4.75
214.0958 |  46.0883 | 125162 |  4.18
214.3683 |  15.2633 | 125180 |   5.8
214.5025 |  -7.5425 | 125184 |  6.47
214.8508 | -46.0578 | 125238 |  3.55
214.6596 | -18.7161 | 125248 |   5.9
214.7533 | -25.8156 | 125276 |  5.87
214.8496 | -37.0036 | 125283 |  5.94
215.0812 | -56.3867 | 125288 |  4.33
214.7775 | -13.3711 | 125337 |  4.52
214.3379 |  51.3072 | 125349 |   6.2
214.4992 |  35.5094 | 125351 |  4.81
215.0404 | -43.0589 | 125383 |  5.56
 214.455 |  48.0017 | 125406 |  6.32
215.1771 | -45.1872 | 125442 |  4.77
214.8179 |  13.0042 | 125451 |  5.41
214.8854 |  -2.2656 | 125454 |  5.14
215.1392 | -37.8853 | 125473 |  4.05
214.9204 |   0.3842 | 125489 |  6.19
214.7321 |  38.7675 | 125538 |  6.86
214.9383 |  16.3069 | 125560 |  4.86
215.6542 | -58.4594 | 125628 |  4.92
214.7325 |  54.8642 | 125632 |  6.53
214.9487 |  38.7939 | 125642 |  6.33
215.0362 |  30.4292 | 125658 |  6.44
215.6612 | -48.3203 | 125721 |  6.09
215.5821 | -34.7869 | 125745 |  5.56
215.8346 | -50.7722 | 125810 |  6.02
215.7592 | -39.5122 | 125823 |  4.42
216.2762 | -68.1953 | 125835 |  5.61
215.9517 | -53.1767 | 125869 |   6.0
215.7742 | -27.7539 | 125932 |  4.77
216.4146 | -66.1733 | 125990 |  6.36
215.8567 | -11.7142 | 126035 |  6.21
215.8137 |   1.2417 | 126053 |  6.27
215.8442 |    8.445 | 126128 |  6.86
215.8446 |   8.4467 | 126129 |  5.12
215.7783 |  25.3381 | 126141 |  6.22
216.0037 |   8.2436 | 126200 |  5.95
217.4033 | -76.7292 | 126209 |  6.07
216.2025 | -24.8064 | 126218 |  5.32
216.7796 | -65.8217 | 126241 |  5.85
216.0471 |     5.82 | 126248 |   5.1
216.1704 | -11.6697 | 126251 |  6.49
216.0762 |    8.085 | 126271 |  6.19
216.5342 | -45.2214 | 126341 |  4.56
 216.545 | -45.3794 | 126354 |  4.35
216.3742 | -19.9697 | 126367 |  6.61
216.5558 | -42.3192 | 126386 |  6.32
216.4487 | -26.8525 | 126400 |  6.48
216.7079 | -39.8739 | 126475 |  6.35
216.8008 | -46.1344 | 126504 |  5.83
216.3717 |  38.3931 | 126597 |  6.27
217.1812 | -59.1978 | 126610 |  6.45
216.2992 |  51.8508 | 126660 |  4.05
216.6142 |  19.2269 | 126661 |  5.39
216.8517 |  -6.1203 | 126722 |  6.17
217.0433 | -29.4917 | 126769 |  4.97
217.8187 | -67.7172 | 126862 |  5.83
217.0504 |  -2.2281 | 126868 |  4.81
217.1737 |  -6.9006 | 126927 |  5.42
216.8637 |   41.025 | 126943 |  6.63
217.5358 | -45.3217 | 126981 |   5.5
217.5871 | -49.5192 | 126983 |  5.37
217.1312 |  28.2892 | 127043 |  7.62
217.1387 |  28.2908 | 127067 |  7.12
217.0683 |  36.1969 | 127065 |   6.1
217.7354 |  -40.845 | 127152 |  6.39
217.4604 |   0.8289 | 127167 |  5.94
